#node1	node2	combined_score
UBE2D1	PSMC1	907
JAK2	SKP1	906
SHC1	TGFBR1	906
JAK2	BTRC	906
RPS27A	NFKB1	906
RPS27A	CCNB1	906
CDH2	AXIN1	906
JAK2	CBL	905
CUL1	PSMC1	905
JAK1	CBL	905
UBE2D1	NFKB1	905
CUL1	PSMC2	905
IL17F	STAT3	904
SHC1	JAK1	904
RELA	JAK2	903
TCF7L2	TCF4	903
HSP90AA1	SKP1	901
IFNA6	SOCS1	900
AXIN1	PSMC1	900
BTRC	PSMC2	900
RPS27A	AXIN1	900
IFNA8	SOCS1	900
IFNA6	STAT2	900
CXCR2	prostaglandin .	900
PSMD14	AXIN1	900
PTGES	prostaglandin .	900
CXCL3	prostaglandin .	900
IL8	prostaglandin .	900
IFNA6	JAK1	900
PTGER3	CXCL3	900
BTRC	PSMC1	900
PSMC2	AXIN1	900
